iter	Passed	Remaining
724	1400	531
725	1401	528
726	1402	526
727	1416	529
728	1418	527
729	1421	525
730	1442	530
731	1448	530
732	1449	527
733	1450	525
734	1451	523
735	1452	521
736	1453	518
737	1455	516
738	1456	514
739	1457	512
740	1459	510
741	1462	508
742	1463	506
743	1464	503
744	1465	501
745	1468	500
746	1470	498
747	1471	495
748	1473	493
749	1477	492
750	1478	490
751	1480	488
752	1482	486
753	1483	484
754	1484	481
755	1485	479
756	1486	477
757	1490	475
758	1493	474
759	1495	472
760	1496	469
761	1497	467
762	1498	465
763	1500	463
764	1501	461
765	1502	458
766	1504	456
767	1506	454
768	1507	452
769	1508	450
770	1509	448
771	1510	446
772	1511	443
773	1513	441
774	1514	439
775	1515	437
776	1517	435
777	1519	433
778	1521	431
779	1522	429
780	1527	428
781	1530	426
782	1531	424
783	1532	422
784	1538	421
785	1540	419
786	1541	417
787	1543	415
788	1545	413
789	1547	411
790	1550	409
791	1552	407
792	1556	406
793	1558	404
794	1559	402
795	1561	400
796	1567	399
797	1570	397
798	1572	395
799	1574	393
800	1575	391
801	1576	389
802	1577	387
803	1578	384
804	1580	382
805	1583	381
806	1584	379
807	1585	376
808	1587	374
809	1588	372
810	1589	370
811	1590	368
812	1591	366
813	1592	363
814	1594	361
815	1597	360
816	1599	358
817	1600	356
818	1601	353
819	1602	351
820	1603	349
821	1604	347
822	1605	345
823	1606	343
824	1610	341
825	1613	339
826	1615	338
827	1617	335
828	1618	333
829	1619	331
830	1620	329
831	1621	327
832	1626	326
833	1627	323
834	1628	321
835	1629	319
836	1630	317
837	1631	315
838	1635	313
839	1640	312
840	1642	310
841	1644	308
842	1645	306
843	1647	304
844	1649	302
845	1657	301
846	1659	299
847	1662	297
848	1663	295
849	1665	293
850	1670	292
851	1672	290
852	1673	288
853	1674	286
854	1675	284
855	1678	282
856	1680	280
857	1681	278
858	1682	276
859	1683	274
860	1686	272
861	1689	270
862	1690	268
863	1691	266
864	1692	264
865	1694	262
866	1695	260
867	1696	257
868	1697	255
869	1699	253
870	1701	252
871	1702	249
872	1703	247
873	1704	245
874	1707	243
875	1709	241
876	1710	239
877	1711	237
878	1712	235
879	1716	234
880	1718	232
881	1719	230
882	1720	227
883	1721	225
884	1722	223
885	1724	221
886	1725	219
887	1726	217
888	1727	215
889	1729	213
890	1731	211
891	1732	209
892	1733	207
893	1734	205
894	1735	203
895	1736	201
896	1738	199
897	1739	197
898	1740	195
899	1743	193
900	1744	191
901	1745	189
902	1747	187
903	1748	185
904	1749	183
905	1761	182
906	1763	180
907	1764	178
908	1765	176
909	1766	174
910	1767	172
911	1770	170
912	1771	168
913	1772	166
914	1774	164
915	1775	162
916	1778	160
917	1779	158
918	1780	156
919	1782	154
920	1783	152
921	1784	150
922	1785	148
923	1787	147
924	1788	144
925	1789	143
926	1791	141
927	1792	139
928	1793	137
929	1794	135
930	1796	133
931	1797	131
932	1798	129
933	1799	127
934	1799	125
935	1800	123
936	1801	121
937	1802	119
938	1803	117
939	1805	115
940	1806	113
941	1807	111
942	1808	109
943	1809	107
944	1810	105
945	1811	103
946	1812	101
947	1813	99
948	1814	97
949	1815	95
950	1816	93
951	1817	91
952	1818	89
953	1819	87
954	1820	85
955	1821	83
956	1822	81
957	1823	79
958	1824	77
959	1825	76
960	1825	74
961	1826	72
962	1827	70
963	1828	68
964	1829	66
965	1830	64
966	1831	62
967	1834	60
968	1836	58
969	1837	56
970	1838	54
971	1839	52
972	1840	51
973	1841	49
974	1842	47
975	1843	45
976	1844	43
977	1844	41
978	1845	39
979	1846	37
980	1848	35
981	1850	33
982	1851	32
983	1851	30
984	1852	28
985	1853	26
986	1854	24
987	1855	22
988	1856	20
989	1857	18
990	1858	16
991	1859	14
992	1860	13
993	1861	11
994	1863	9
995	1864	7
996	1864	5
997	1865	3
998	1866	1
999	1867	0
